"","value_added_manufacturing","Year","state_highway_length","power_requirement","availability_of_power","installed_capacity_of_power"
"1",6919442,2012,7941,8134,7212,13054
"2",7392673,2013,7876,9165,7645,14294
"3",8552794,2014,7703,9489,8161,14375
"4",7465709,2015,7544,10318,8706,15087
"5",9434858,2016,7543,10635,9303,18632
"6",15858284,2018,7201,12005,11830,24909
"7",16550198,2019,NA,NA,NA,NA
"8",16308230,2020,NA,NA,NA,NA
"9",15447730,2017,7147,10757,10570,23662
"10",4048573,2010,8739,7593,5951,9984
"11",4438921,2011,7957,7629,6485,10458
"12",4298735,2012,7941,8134,7212,13054
"13",4268198,2013,7876,9165,7645,14294
"14",4318099,2014,7703,9489,8161,14375
"15",4354948,2015,7544,10318,8706,15087
"16",2738719,2005,NA,NA,NA,NA
"17",2845971,2006,8888,5568,4403,8597
"18",3468978,2007,8551,5744,4837,9175
"19",3681681,2008,8449,6263,5134,9278
"20",3334539,2009,8391,6921,5431,9247
"21",6919442,2012,7941,8134,7212,13054
"22",7714453,2013,7876,9165,7645,14294
"23",9412844,2014,7703,9489,8161,14375
"24",8421491,2015,7544,10318,8706,15087
"25",11031061,2016,7543,10635,9303,18632
"26",17311224,2018,7201,12005,11830,24909
"27",18937437,2019,NA,NA,NA,NA
"28",18927419,2020,NA,NA,NA,NA
"29",15980178,2017,7147,10757,10570,23662
"30",2738719,2005,NA,NA,NA,NA
"31",2942918,2006,8888,5568,4403,8597
"32",3836725,2007,8551,5744,4837,9175
"33",4297489,2008,8449,6263,5134,9278
"34",4162859,2009,8391,6921,5431,9247
"35",5196264,2010,8739,7593,5951,9984
"36",6080604,2011,7957,7629,6485,10458
"37",6375323,2012,7941,8134,7212,13054
"38",6724789,2013,7876,9165,7645,14294
"39",7035725,2014,7703,9489,8161,14375
"40",7410025,2015,7544,10318,8706,15087
